iter	Passed	Remaining
673	3057	1478
674	3062	1474
675	3065	1469
676	3069	1464
677	3074	1459
678	3078	1455
679	3082	1450
680	3086	1445
681	3090	1441
682	3094	1436
683	3098	1431
684	3102	1426
685	3107	1422
686	3111	1417
687	3114	1412
688	3119	1407
689	3123	1403
690	3131	1400
691	3136	1395
692	3140	1391
693	3144	1386
694	3148	1381
695	3153	1377
696	3158	1372
697	3163	1368
698	3168	1364
699	3173	1360
700	3177	1355
701	3182	1350
702	3189	1347
703	3195	1343
704	3199	1338
705	3204	1334
706	3208	1329
707	3213	1325
708	3219	1321
709	3225	1317
710	3230	1313
711	3236	1309
712	3240	1304
713	3246	1300
714	3252	1296
715	3256	1291
716	3260	1286
717	3265	1282
718	3269	1277
719	3273	1273
720	3278	1268
721	3284	1264
722	3289	1260
723	3295	1256
724	3301	1252
725	3306	1247
726	3310	1243
727	3315	1238
728	3321	1234
729	3326	1230
730	3331	1225
731	3336	1221
732	3342	1217
733	3348	1213
734	3353	1208
735	3357	1204
736	3361	1199
737	3366	1195
738	3370	1190
739	3374	1185
740	3378	1181
741	3383	1176
742	3387	1171
743	3391	1167
744	3397	1162
745	3402	1158
746	3405	1153
747	3427	1154
748	3431	1149
749	3435	1145
750	3439	1140
751	3443	1135
752	3447	1130
753	3451	1126
754	3455	1121
755	3459	1116
756	3463	1111
757	3467	1107
758	3471	1102
759	3476	1097
760	3480	1093
761	3484	1088
762	3488	1083
763	3493	1079
764	3497	1074
765	3501	1069
766	3505	1064
767	3509	1060
768	3513	1055
769	3518	1050
770	3522	1046
771	3526	1041
772	3531	1037
773	3535	1032
774	3539	1027
775	3544	1023
776	3548	1018
777	3552	1013
778	3556	1009
779	3560	1004
780	3564	999
781	3569	994
782	3573	990
783	3577	985
784	3581	981
785	3586	976
786	3591	971
787	3595	967
788	3600	962
789	3605	958
790	3609	953
791	3613	949
792	3618	944
793	3622	939
794	3626	935
795	3630	930
796	3635	926
797	3641	921
798	3645	916
799	3649	912
800	3654	907
801	3659	903
802	3662	898
803	3667	894
804	3672	889
805	3675	884
806	3680	880
807	3685	875
808	3689	871
809	3693	866
810	3698	861
811	3713	859
812	3718	855
813	3722	850
814	3726	845
815	3731	841
816	3736	837
817	3741	832
818	3745	827
819	3750	823
